,Name,University,Sport,Sponsors
8,Austin Stogner,University of Oklahoma,Football,
9,Jeremiah Criddell,University of Oklahoma,Football,
10,Kennedy Brooks,University of Oklahoma,Football,
11,Jackson Sumlin,University of Oklahoma,Football,Barstool Sports
12,Josh Plaster,University of Oklahoma,Football,Barstool Sports
13,Gabe Brkic,University of Oklahoma,Football,
14,Chris Murray,University of Oklahoma,Football,
15,Ethan Lane,University of Oklahoma,Football,Barstool Sports
16,Savion Byrd,University of Oklahoma,Football,
17,Marcus Hicks,University of Oklahoma,Football,
18,Josh Ellison,University of Oklahoma,Football,Barstool Sports
19,Bijan Cortes,University of Oklahoma,Basketball,
0,C.J. Noland,University of Oklahoma,Basketball,
1,Blake Seacat,University of Oklahoma,Basketball,Barstool Sports
2,Jack Freeman,University of Oklahoma,Gymnastics,Barstool Sports
3,Elijah Joseph,University of Oklahoma,Wrestling,Barstool Sports
4,Grace Lyons,University of Oklahoma,Softball,
5,Jana Johns,University of Oklahoma,Softball,
6,Jayda Coleman,University of Oklahoma,Softball,
7,Jocelyn Alo,University of Oklahoma,Softball,
8,Ragan Smith,University of Oklahoma,Gymnastics,
9,Katie Maxim,Central Michigan University,Field Hockey,Barstool Sports
10,Caroline Beairsto,Central Michigan University,Field Hockey,Barstool Sports
11,Ralph Bissainthe,Central Michigan University,Basketball,Barstool Sports
12,Michaleigh Vallimont,Central Michigan University,Softball,Barstool Sports
13,Adriana Bustelo,Central Michigan University,Gymnastics,Barstool Sports
14,Erin Owens,Central Michigan University,Lacrosse,Barstool Sports
15,Brennan Paddy,Central Michigan University,Lacrosse,Barstool Sports
16,Hayley Manners,Central Michigan University,Track and Field,Barstool Sports
17,Joshua Cox,Oral Roberts University,Baseball,Barstool Sports
18,Reed Ronan,Oral Roberts University,Baseball,Barstool Sports
19,Andrew Nunez,Oral Roberts University,Soccer,Barstool Sports
0,Dante Brigida,Oral Roberts University,Soccer,Barstool Sports
1,Mackenzi Kirschner,Oral Roberts University,Soccer,Barstool Sports
2,John Hanley,Santa Clara University,Baseball,Barstool Sports
3,Josip Vrankic,Santa Clara University,Basketball,Barstool Sports
4,Henry Little,Santa Clara University,Cross Country,Barstool Sports
5,Zack Kaneshiro,Santa Clara University,Golf,Barstool Sports
6,Cole Motooka,Santa Clara University,Soccer,Barstool Sports
7,Dominick Kirk,Santa Clara University,Water Polo,Barstool Sports
8,Marlee Nicolos,Santa Clara University,Soccer,
9,Alex Loera,Santa Clara University,Soccer,
10,Katherine Petty,Santa Clara University,Tennis,Barstool Sports
11,Colin Torpey,Seton Hill University,Lacrosse,Barstool Sports
12,Sergio Villalobos,Southern Illinois University Edwardsville,Wrestling,Barstool Sports
13,Cardeionte Wilson,Southern Illinois University Edwardsville,Wrestling,Barstool Sports
14,Mary Wessel,Southern Illinois University Edwardsville,Soccer,Barstool Sports
15,Adam Haidermota,Florida A&M University,Baseball,Barstool Sports
16,Chris Faddoul,Florida A&M University,Football,
17,Patrick Jean-Pierre,Florida A&M University,Golf,Barstool Sports
18,Jaylyn Scott,Florida A&M University,Track and Field,Barstool Sports
19,Rachel Harden,Florida A&M University,Tennis,Barstool Sports
0,Alexys Mann,Florida A&M University,Volleyball,Barstool Sports
1,Dominique Washington,Florida A&M University,Volleyball,
2,Dominique Turner,Florida A&M University,Volleyball,Barstool Sports
3,Cameron Davis,University of Washington,Football,
4,Trent McDuffie,University of Washington,Football,
5,Samuel Peacock,University of Washington,Football,Barstool Sports
6,Langston Wilson,University of Washington,Basketball,
7,Sis Bates,University of Washington,Softball,
8,Avery VanSickle,University of Washington,Basketball,Barstool Sports
9,Haley Van Dyke,University of Washington,Basketball,
10,Missy Peterson,University of Washington,Basketball,Barstool Sports
11,Amara Cunningham,University of Washington,Gymnastics,Barstool Sports
12,Gabi Wickman,University of Washington,Gymnastics,Barstool Sports
13,Matt Kahn,Siena College,Baseball,Barstool Sports
14,Griffin Cooke,Siena College,Cross Country,Liquid I.V.
15,Christian Watts,Siena College,Lacrosse,Barstool Sports
16,Jennifer McClintock,Siena College,Cross Country,Liquid I.V.
17,Amanda Nieman,Siena College,Lacrosse,Barstool Sports
18,Morgan Camarda,Siena College,Soccer,Barstool Sports
19,Sydney Arnold,Siena College,Water Polo,Barstool Sports
0,Tyler Radocha,Drake University,Football,Barstool Sports
1,Hudson Fields,Drake University,Football,Barstool Sports
2,Jackson Million,Drake University,Soccer,Barstool Sports
3,Aubree Beitzinger,Drake University,Softball,Barstool Sports
4,MaKayla Rice,Drake University,Softball,Barstool Sports
5,Kelti Wise,Drake University,Soccer,Barstool Sports
6,Libby Helverson,Drake University,Soccer,Barstool Sports
7,Samuel Grove,Minnesota State University Moorhead,Wrestling,Barstool Sports
8,Matt Bedford,University of Notre Dame,Baseball,Barstool Sports
9,Dominic Cancellieri,University of Notre Dame,Baseball,Barstool Sports
10,Houston Griffith,University of Notre Dame,Football,
11,Avery Davis,University of Notre Dame,Football,
12,Kyle Hamilton,University of Notre Dame,Football,
13,Kyren Williams,University of Notre Dame,Football,
14,Jason Onye,University of Notre Dame,Football,Barstool Sports
15,Andrew Kristofic,University of Notre Dame,Football,Barstool Sports
16,Rylie Mills,University of Notre Dame,Football,
17,Prentiss Hubb,University of Notre Dame,Basketball,
18,Cormac Ryan,University of Notre Dame,Basketball,
19,Tony Sanders Jr.,University of Notre Dame,Basketball,
0,Robby Carmody,University of Notre Dame,Basketball,
1,Matt Zona,University of Notre Dame,Basketball,
2,Sebastian Wozniak,University of Notre Dame,Fencing,Barstool Sports
3,Griffin Hawthorne,University of Notre Dame,Lacrosse,Barstool Sports
4,Ethan O'Brien,University of Notre Dame,Soccer,Barstool Sports
5,Matthew Che,University of Notre Dame,Tennis,Barstool Sports
6,Katlyn Gilbert,University of Notre Dame,Basketball,Barstool Sports
7,Kiki Van Zanten,University of Notre Dame,Soccer,
8,Sarah Bender,University of Notre Dame,Swimming and Diving,Barstool Sports
9,Rhianna Hensler,University of Notre Dame,Swimming and Diving,Reganâs Corner Sports Network
10,Ethan Mann,New Mexico State University,Baseball,Barstool Sports
11,Tommy Tabak,New Mexico State University,Baseball,Barstool Sports
12,Brandon Dieter,New Mexico State University,Baseball,
13,Juwaun Price,New Mexico State University,Football,Barstool Sports
14,Johnny McCants,New Mexico State University,Basketball,Barstool Sports
15,Israel Swanson,New Mexico State University,Track and Field,Barstool Sports
16,Cat Kelly,New Mexico State University,Volleyball,Barstool Sports
17,Zach Ketterman,Western Carolina University,Baseball,Barstool Sports
18,Paxton Robertson,Western Carolina University,Football,Barstool Sports
19,Josh Massey,Western Carolina University,Basketball,Barstool Sports
0,Reagan Culver,Western Carolina University,Soccer,Barstool Sports
1,Shannon Greenwood,Western Carolina University,Soccer,Barstool Sports
2,Regan Ward,Western Carolina University,Soccer,Barstool Sports
3,Bridgette Merrill,Western Carolina University,Volleyball,Barstool Sports
4,Bailey Hartsough,Western Carolina University,Volleyball,
5,Michael Hall,Northern Kentucky University,Baseball,Barstool Sports
6,John Odom,Northern Kentucky University,Baseball,Barstool Sports
7,Michael Bohlen,Northern Kentucky University,Baseball,Barstool Sports
8,Kendyl McKeough,Northern Kentucky University,Softball,Barstool Sports
9,Tayah Irvin,Northern Kentucky University,Basketball,Barstool Sports
10,Skyy Smith,Northern Kentucky University,Volleyball,Barstool Sports
11,Jalin Reese,Maryville University,Wrestling,Liquid I.V.
12,Grant Rosenbaum,Concord University,Golf,Barstool Sports
13,Ben Preddy,University of San Francisco,Cross Country,Barstool Sports
14,Dominic Valdivia,University of San Francisco,Soccer,Barstool Sports
15,Jack Boccuzzi,University of San Francisco,Soccer,Barstool Sports
16,Demetrius Terry,Cleveland State University,Basketball,
17,Drew Harder,Cleveland State University,Lacrosse,Barstool Sports
18,Joseph Caprella,Cleveland State University,Wrestling,Barstool Sports
19,Julia Hintz,Cleveland State University,Basketball,
0,Bethany Yauch,Cleveland State University,Tennis,Barstool Sports
1,Reagan Paulina,Oakland University,Baseball,
2,Edward Rowe,Oakland University,Golf,Barstool Sports
3,Finn Jurak,Oakland University,Soccer,Barstool Sports
4,Kendall Folley,Oakland University,Basketball,
5,Jagger Duquette,Wagner College,Baseball,Barstool Sports
6,Cody Bey,Wagner College,Baseball,Barstool Sports
7,Elena Andreyev,Wagner College,Field Hockey,Barstool Sports
8,Winston Ware III,Wagner College,Football,Barstool Sports
9,Zoe Bender,Wagner College,Softball,Barstool Sports
10,Lindsay MacLachlan,Wagner College,Lacrosse,Barstool Sports
11,Kelsey Scheidel,Wagner College,Lacrosse,Barstool Sports
12,Emily Wesoky,Wagner College,Lacrosse,Barstool Sports
13,Maggie Hamilton,Wagner College,Lacrosse,Barstool Sports
14,Erin Kelly,Wagner College,Soccer,Barstool Sports
15,Alexa Rispoli,Wagner College,Soccer,Barstool Sports
16,Tanner Baird,Washington University in St. Louis,Basketball,Barstool Sports
17,Chance Taylor,Tennessee Technological University,Golf,Barstool Sports
18,KaDedra Temple,Tennessee Technological University,Softball,Barstool Sports
19,Shelby Udovich,Tennessee Technological University,Cross Country,Barstool Sports
0,Morgan Gish,Tennessee Technological University,Volleyball,Liquid I.V.
1,Ryan Arnold,Trinity University,Football,Barstool Sports
2,Harley Michaels,Albertus Magnus College,Ice Hockey,Barstool Sports
3,Nick Ford,University of Utah,Football,
4,Theo Howard,University of Utah,Football,
5,Devin Lloyd,University of Utah,Football,
6,Carson Moyer,University of Utah,Lacrosse,Barstool Sports
7,Sophie Jacquez,University of Utah,Softball,Barstool Sports
8,Julia Scardina,University of Utah,Softball,Barstool Sports
9,Sydney Soloski,University of Utah,Gymnastics,
10,Brianna Pearson,University of Utah,Soccer,Barstool Sports
11,Hillary Noakes,University of Utah,Soccer,Barstool Sports
12,Elise Beller,University of Utah,Swimming and Diving,Barstool Sports
13,Regan Caufield,University of Utah,Swimming and Diving,Barstool Sports
14,Kayla Miller,University of Utah,Swimming and Diving,Barstool Sports
15,Makenna McCloy,University of Utah,Track and Field,Barstool Sports
16,Jasie York,University of Utah,Track and Field,Barstool Sports
17,Cade Evans,Nicholls State University,Baseball,Barstool Sports
18,David Vial Jr.,Nicholls State University,Baseball,Barstool Sports
19,Craig Walker,Nicholls State University,Football,Barstool Sports
0,Jacob Parker,Nicholls State University,Football,Barstool Sports
1,Gabrielle Champagne,Nicholls State University,Soccer,Barstool Sports
2,Tyler Tsagalis,University of South Dakota,Football,Barstool Sports
3,Jason Samec,University of South Dakota,Football,Barstool Sports
4,Isaac Erbes,University of South Dakota,Football,Barstool Sports
5,Austin Goehring,University of South Dakota,Football,Barstool Sports
6,Micah Roane,University of South Dakota,Football,Barstool Sports
7,Jacob Won,University of South Dakota,Swimming and Diving,Barstool Sports
8,Jayden Green,University of South Dakota,Track and Field,Barstool Sports
9,Mia Kraimer,University of South Dakota,Softball,Barstool Sports
10,Maddie Wiedenfeld,University of South Dakota,Volleyball,
11,Jude Camancho,Bellarmine University,Wrestling,Barstool Sports
12,Jack Parker,Bellarmine University,Wrestling,Barstool Sports
13,Ryan Wappaus,Saint Peter's University,Baseball,Barstool Sports
14,Katie Sciglimpaglia,Saint Peter's University,Softball,Barstool Sports
15,Nash Fouch,University of Montana,Football,Barstool Sports
16,Grayson Pibal,University of Montana,Football,Barstool Sports
17,Bo Kinney,University of Montana,Football,Barstool Sports
18,Colton Keintz,University of Montana,Football,Barstool Sports
19,Freddy Brown III,University of Montana,Basketball,
0,Evan Todd,University of Montana,Track and Field,Barstool Sports
1,Amara Christensen,University of Montana,Cross Country,Barstool Sports
2,Kyle Hasler,Louisiana Tech University,Baseball,Barstool Sports
3,Matthew McCallister,Louisiana Tech University,Football,Barstool Sports
4,Amorie Archibald,Louisiana Tech University,Basketball,Barstool Sports
5,Henry Terral,Louisiana Tech University,Track and Field,Barstool Sports
6,Najah Dawson,Louisiana Tech University,Tennis,Barstool Sports
7,Jake Heimlicher,University of Pennsylvania,Football,
8,Jake Gonzalez,University of Pennsylvania,Football,Barstool Sports
9,Sean Banko,University of Pennsylvania,Cross Country,Barstool Sports
10,Patrick Burkinshaw,University of Pennsylvania,Lacrosse,Barstool Sports
11,Dimitri Nicholson,University of Pennsylvania,Track and Field,Barstool Sports
12,Kaya Sement,University of Pennsylvania,Wrestling,Liquid I.V.
13,Katie Reagan,University of Pennsylvania,Softball,Barstool Sports
14,Ariana Gardizy,University of Pennsylvania,Cross Country,Barstool Sports
15,Mia Shenk,University of Pennsylvania,Soccer,Barstool Sports
16,Luke Knoblich,University of Portland,Cross Country,Barstool Sports
17,Brandon Cambridge,University of Portland,Soccer,Barstool Sports
18,Sebastian Nava,University of Portland,Soccer,
19,Gurman Sangha,University of Portland,Soccer,Barstool Sports
0,Haylee Andrews,University of Portland,Basketball,
1,Noelani Helm,University of Portland,Volleyball,
2,Davis Root,Wright State University,Golf,Barstool Sports
3,Sebastian Jimenez,Wright State University,Soccer,Barstool Sports
4,Wayne Walter,Wright State University,Soccer,Barstool Sports
5,Coen Wilson,Wright State University,Soccer,Barstool Sports
6,Channing Chappell,Wright State University,Basketball,
7,Zora Fray-Chinn,Wright State University,Basketball,
8,Lena Jenssen,Wright State University,Soccer,Barstool Sports
9,Olga Massombo,Wright State University,Soccer,
10,Josie Krupp,Wright State University,Soccer,Barstool Sports
11,Tatiana Brown,Wright State University,Track and Field,Barstool Sports
12,Jenny Morey,Wright State University,Volleyball,Barstool Sports
13,Kaitlyn Doyle,Marymount University,Volleyball,Barstool Sports
14,Zak Gould,University of Illinois at Chicago,Baseball,Barstool Sports
15,Luke Malone,University of Illinois at Chicago,Cross Country,Barstool Sports
16,Ciana Clinton,University of Illinois at Chicago,Track and Field,Barstool Sports
17,Natalie Kowalczuk,University of Illinois at Chicago,Track and Field,Barstool Sports
18,Taylor O'Malley,University of Illinois at Chicago,Volleyball,Barstool Sports
19,Chris Ladyga,University of Hartford,Lacrosse,Barstool Sports
0,Babou Sanyang,University of Hartford,Soccer,Barstool Sports
1,Teagan Devoe,University of Hartford,Golf,Barstool Sports
2,Julia Kraft,American University,Field Hockey,Barstool Sports
3,Mike Bleeker,American University,Soccer,Barstool Sports
4,Stefanie Walsh,American University,Lacrosse,Barstool Sports
5,Julia Kato,American University,Soccer,Barstool Sports
6,Skyler Matusz,American University,Soccer,Barstool Sports
7,Juliana Saling,American University,Soccer,Barstool Sports
8,Sarah Richards,The Ohio State University,Field Hockey,Barstool Sports
9,Chris Olave,The Ohio State University,Football,
10,Teradja Mitchell,The Ohio State University,Football,
11,Zach Harrison,The Ohio State University,Football,
12,Tyreke Smith,The Ohio State University,Football,
13,Gee Scott Jr.,The Ohio State University,Football,
14,Steele Chambers,The Ohio State University,Football,
15,Cameron Brown,The Ohio State University,Football,
16,Miyan Williams,The Ohio State University,Football,
17,Denzel Burke,The Ohio State University,Football,
18,TreVeyon Henderson,The Ohio State University,Football,
19,Master Teague III,The Ohio State University,Football,
0,Matthew Jones,The Ohio State University,Football,
1,Ty Hamilton,The Ohio State University,Football,
2,Paris Johnson Jr.,The Ohio State University,Football,
3,Jeremy Ruckert,The Ohio State University,Football,
4,Tyleik Williams,The Ohio State University,Football,
5,Haskell Garrett,The Ohio State University,Football,
6,Eugene Brown III,The Ohio State University,Basketball,
7,Justice Sueing,The Ohio State University,Basketball,
8,Kyle Young,The Ohio State University,Basketball,
9,Joey Brunk,The Ohio State University,Basketball,
10,Jamari Wheeler,The Ohio State University,Basketball,
11,Steph Miller,The Ohio State University,Fencing,Barstool Sports
12,Kameron Nelson,The Ohio State University,Gymnastics,Barstool Sports
13,Dalton Messina,The Ohio State University,Ice Hockey,Barstool Sports
14,Mark Cheremeta,The Ohio State University,Ice Hockey,
15,Robert Cash,The Ohio State University,Tennis,Barstool Sports
16,Thomas Poole,The Ohio State University,Volleyball,Barstool Sports
17,Jordan Decatur,The Ohio State University,Wrestling,Barstool Sports
18,Niki Carver,The Ohio State University,Softball,Barstool Sports
19,Kirsten Eppele,The Ohio State University,Softball,Barstool Sports
0,Kaitlyn Coffman,The Ohio State University,Softball,Barstool Sports
1,Gabby Hutcherson,The Ohio State University,Basketball,
2,Jacy Sheldon,The Ohio State University,Basketball,Barstool Sports
3,Quinn Kuntz,The Ohio State University,Ice Hockey,Barstool Sports
4,Sophie Baez,The Ohio State University,Lacrosse,Barstool Sports
5,Megan McNutt,The Ohio State University,Rowing,Barstool Sports
6,Makel Calhoun,Southern Illinois University Carbondale,Football,
7,Zach Zebrowski,Southern Illinois University Carbondale,Football,Barstool Sports
8,Landon Lenoir,Southern Illinois University Carbondale,Football,
9,Justin Wingerter,Southern Illinois University Carbondale,Golf,Barstool Sports
10,Ashley Wood,Southern Illinois University Carbondale,Softball,Barstool Sports
11,Daxton Carr,Idaho State University,Basketball,Barstool Sports
12,Paisley Specht,Idaho State University,Basketball,
13,Jamie Connell,Idaho State University,Golf,Barstool Sports
14,Chelsea Radicia,Idaho State University,Soccer,Barstool Sports
15,Brooke Anger,Idaho State University,Track and Field,Barstool Sports
16,Keelan Crosby,University of North Texas,Football,Barstool Sports
17,Jake Roberts,University of North Texas,Football,Barstool Sports
18,Cody Bullard,University of North Texas,Track and Field,Barstool Sports
19,Chris Samaniego,University of North Texas,Track and Field,Barstool Sports
0,Brooke Beddingfield,University of North Texas,Swimming and Diving,Barstool Sports
1,Henrianna Ibarra,University of North Texas,Volleyball,Barstool Sports
2,Owen Wild,Gonzaga University,Baseball,Barstool Sports
3,Ivanna Montemayor,Gonzaga University,Golf,Barstool Sports
4,Payton Stiles,Gonzaga University,Soccer,Liquid I.V.
5,Alisa Kim,Gonzaga University,Volleyball,Barstool Sports
6,Gage Gomez,"University of California, Santa Barbara",Basketball,Barstool Sports
7,Zade Ghani,"University of California, Santa Barbara",Soccer,Barstool Sports
8,Kai Brady,"University of California, Santa Barbara",Tennis,Barstool Sports
9,Sam Denehy,"University of California, Santa Barbara",Softball,Barstool Sports
10,Lexi Campbell,"University of California, Santa Barbara",Softball,Barstool Sports
11,Lindsey Porter,"University of California, Santa Barbara",Soccer,Barstool Sports
12,Saloni Khandhadia,"University of California, Santa Barbara",Track and Field,Barstool Sports
13,Drew Halvorson,"University of California, Santa Barbara",Water Polo,Barstool Sports
14,Justin Murray,Dartmouth College,Baseball,Barstool Sports
15,Nicholas Schwitzgebel,Dartmouth College,Football,Barstool Sports
16,Ben Keeter,Dartmouth College,Football,Barstool Sports
17,Eli Thrasher,Dartmouth College,Golf,Barstool Sports
18,Peter Rizzotti,Dartmouth College,Lacrosse,Barstool Sports
19,Nick Erickson,University of MissouriâSt. Louis,Basketball,Barstool Sports
0,Sarah Klein,University of Indianapolis,Lacrosse,Barstool Sports
1,Bakari LaStrap,Indiana University â Purdue University Indianapolis,Basketball,
2,Kaleb Edwards,Indiana University â Purdue University Indianapolis,Basketball,Barstool Sports
3,Preston Nanthavong,Indiana University â Purdue University Indianapolis,Golf,Barstool Sports
4,Corey Goede,Indiana University â Purdue University Indianapolis,Soccer,Barstool Sports
5,Mihir Chandra,Indiana University â Purdue University Indianapolis,Swimming and Diving,Barstool Sports
6,Riley Lohse,Indiana University â Purdue University Indianapolis,Swimming and Diving,Barstool Sports
7,Madison Wise,Indiana University â Purdue University Indianapolis,Basketball,Barstool Sports
8,Corrissa Remter,Indiana University â Purdue University Indianapolis,Volleyball,Barstool Sports
9,Shakobe Harper,California Polytechnic State University,Football,
10,Zach Hernandez,California Polytechnic State University,Football,Barstool Sports
11,Dominic Stellini-Splan,California Polytechnic State University,Football,Barstool Sports
12,Jessica Clements,California Polytechnic State University,Softball,Barstool Sports
13,Madi Daniel,California Polytechnic State University,Golf,Barstool Sports
14,Sammy Zanini,California Polytechnic State University,Soccer,Barstool Sports
15,Harrison Spohn,California Baptist University,Baseball,Barstool Sports
16,Louis Rojas,California Baptist University,Wrestling,Barstool Sports
17,Mia Alvarez,California Baptist University,Softball,Barstool Sports
18,Makayla Jordan,California Baptist University,Softball,Barstool Sports
19,Shelby Arbeiter,California Baptist University,Softball,Barstool Sports
0,Karley Weeks,California Baptist University,Soccer,Barstool Sports
1,Kat Nolan,Loyola University Chicago,Basketball,Barstool Sports
2,Mia Gianfrancesco,Loyola University Chicago,Cross Country,Barstool Sports
3,Kate Meier,Loyola University Chicago,Golf,Barstool Sports
4,Nathan Chester,University of Missouri,Baseball,Barstool Sports
5,Casidy Chaumont,University of Missouri,Softball,Barstool Sports
6,Alexis Burks,University of Missouri,Softball,Barstool Sports
7,Cayla Kessinger,University of Missouri,Softball,Barstool Sports
8,Gabi Deters,University of Missouri,Softball,Barstool Sports
9,Kaesha George,University of Missouri,Track and Field,Barstool Sports
10,Sophia Rivera,University of Missouri,Track and Field,Barstool Sports
11,Troy Boynton,University of Evansville,Basketball,Barstool Sports
12,Trey Hall,University of Evansville,Basketball,Barstool Sports
13,Nkosi Graham,University of Evansville,Soccer,Barstool Sports
14,Brock Wandel,University of Evansville,Soccer,Barstool Sports
15,Megan Brenton,University of Evansville,Softball,Barstool Sports
16,Hannah Hood,University of Evansville,Softball,Barstool Sports
17,Jessica Fehr,University of Evansville,Softball,Barstool Sports
18,Abby Phelps,University of Evansville,Soccer,Barstool Sports
19,Emily Wiebe,University of Evansville,Soccer,Barstool Sports
0,Emilee Scheumann,University of Evansville,Volleyball,Barstool Sports
1,Madisyn Steele,University of Evansville,Volleyball,Barstool Sports
2,Connor Fedorek,Ferris State University,Ice Hockey,Barstool Sports
3,Jaylynn Cundiff,Southern Connecticut State University,Football,Barstool Sports
4,Zach Fogell,Brown University,Baseball,Barstool Sports
5,Treyvon Hobbs,Brown University,Football,Barstool Sports
6,Cooper DeVeau,Brown University,Football,Barstool Sports
7,Ricky Cabanillas,Brown University,Wrestling,Barstool Sports
8,Nicole Kim,Brown University,Softball,Barstool Sports
9,Megan Forrest,Brown University,Ice Hockey,Barstool Sports
10,Kaley Doyle,Brown University,Ice Hockey,Barstool Sports
11,Karlie Schlosser,Brown University,Soccer,Barstool Sports
12,Sophie Elwyn,Brown University,Swimming and Diving,Barstool Sports
13,Joey Saia,Rensselaer Polytechnic Institute,Baseball,Barstool Sports
14,Danny Bekkenhuis,Rensselaer Polytechnic Institute,Football,Barstool Sports
15,Teeghan Dalby,Rensselaer Polytechnic Institute,Ice Hockey,Barstool Sports
16,Tom Ruscitti,Fairleigh Dickinson University,Baseball,Barstool Sports
17,Jude Baxt,Fairleigh Dickinson University,Baseball,Barstool Sports
18,Anthony Frechette,George Washington University,Baseball,Barstool Sports
19,Laziz Talipov,George Washington University,Basketball,
0,Grant Barrientos,George Washington University,Soccer,Barstool Sports
1,Ryan Patterson,George Washington University,Swimming and Diving,
2,Grace Siehler,George Washington University,Cross Country,Barstool Sports
3,Katherine Shek,George Washington University,Gymnastics,Barstool Sports
4,Kendall Lambert,George Washington University,Lacrosse,Barstool Sports
5,Sophia Danyko-Kulchycky,George Washington University,Soccer,
6,Kyle Sonduck,University of Texas at San Antonio,Baseball,Barstool Sports
7,Nate Hawkins,University of Texas at San Antonio,Football,Barstool Sports
8,Michael Rome,University of Texas at San Antonio,Golf,Barstool Sports
9,Abby Balli,University of Texas at San Antonio,Cross Country,Barstool Sports
10,J'Bore Gibbs,South Dakota State University,Football,Barstool Sports
11,Don Gardner,South Dakota State University,Football,Barstool Sports
12,Corben Mahaffy,South Dakota State University,Football,Barstool Sports
13,Luke Appel,South Dakota State University,Basketball,Barstool Sports
14,Trayton Anderson,South Dakota State University,Wrestling,Barstool Sports
15,Addison Hirschman,South Dakota State University,Basketball,Barstool Sports
16,Shae Campbell,South Dakota State University,Track and Field,Barstool Sports
17,Carter Young,Vanderbilt University,Baseball,Student-Athlete Inu
18,Enrique Bradfield Jr.,Vanderbilt University,Baseball,
19,ReâMahn Davis,Vanderbilt University,Football,Barstool Sports
0,Ken Seals,Vanderbilt University,Football,
1,Maxwell Worship,Vanderbilt University,Football,
2,Jaylen Mahoney,Vanderbilt University,Football,
3,Ethan Barr,Vanderbilt University,Football,
4,Paige Gunning,Vanderbilt University,Lacrosse,Barstool Sports
5,Emily Brooks,Vanderbilt University,Lacrosse,
6,Hanako Batt,Vanderbilt University,Swimming and Diving,Barstool Sports
7,Kieran Versaw-Barnes,George Mason University,Baseball,Barstool Sports
8,Jack Ikenberry,George Mason University,Cross Country,Barstool Sports
9,Henry Wachsman,George Mason University,Soccer,Barstool Sports
10,Timothy McKinley,George Mason University,Swimming and Diving,Barstool Sports
11,Sid Yap,George Mason University,Track and Field,Barstool Sports
12,Drew Dickson,George Mason University,Wrestling,Barstool Sports
13,Paul Pierce,George Mason University,Wrestling,Barstool Sports
14,Patrick Schellpfeffer,George Mason University,Wrestling,Barstool Sports
15,Haley Flint,George Mason University,Lacrosse,Barstool Sports
16,Megan Mastropaolo,George Mason University,Swimming and Diving,Barstool Sports
17,Leah Riley,George Mason University,Swimming and Diving,Barstool Sports
18,Walker Trusley,East Tennessee State University,Baseball,Barstool Sports
19,Jamir Huston,East Tennessee State University,Basketball,
0,Hannah Burkhart,East Tennessee State University,Cross Country,Barstool Sports
1,Kendall King,East Tennessee State University,Soccer,Barstool Sports
2,Justin Growel,Eastern Illinois University,Football,Barstool Sports
3,Cooper Willman,Eastern Illinois University,Football,Barstool Sports
4,Anthony Shockey,Eastern Illinois University,Football,Barstool Sports
5,Jay Vallie,Eastern Illinois University,Football,Barstool Sports
6,Jeremy Bekkouche,Eastern Illinois University,Cross Country,Barstool Sports
7,Jonathan Burke,Eastern Illinois University,Soccer,Barstool Sports
8,Jalen Echols,Eastern Illinois University,Track and Field,Barstool Sports
9,Sydney Cammon,Eastern Illinois University,Softball,Barstool Sports
10,Denaed Santini,Eastern Illinois University,Softball,Barstool Sports
11,Abby Wahl,Eastern Illinois University,Basketball,Barstool Sports
12,Faith Davies,Eastern Illinois University,Soccer,Barstool Sports
13,Ashlee Shinabery,Eastern Illinois University,Tennis,Barstool Sports
14,Will Drake,Hobart and William Smith College,Rowing,Barstool Sports
15,Ryan Archer,Hobart and William Smith College,Lacrosse,Barstool Sports
16,Matt Turner,Hobart and William Smith College,Lacrosse,Barstool Sports
17,Jack Grooms,Hobart and William Smith College,Lacrosse,Barstool Sports
18,Christian Burkhart,Hobart and William Smith College,Soccer,Barstool Sports
19,Owen Birkman,"University at Albany, SUNY",Baseball,Barstool Sports
0,Steven Turk,"University at Albany, SUNY",Baseball,Barstool Sports
1,Jake Cuomo,"University at Albany, SUNY",Football,Barstool Sports
2,Jackson Martinez,"University at Albany, SUNY",Football,Barstool Sports
3,Will Marotta,"University at Albany, SUNY",Football,Barstool Sports
4,LJ Wesneski,"University at Albany, SUNY",Football,Barstool Sports
5,Wil Pepe,"University at Albany, SUNY",Lacrosse,Barstool Sports
6,LovÃ© Drumgole,"University at Albany, SUNY",Softball,Barstool Sports
7,Marisa Tava,"University at Albany, SUNY",Soccer,Barstool Sports
8,Amanda O'Brien,"University at Albany, SUNY",Soccer,Barstool Sports
9,Aaron Casillas,"California State University, Bakersfield",Baseball,Barstool Sports
10,Ryan Reynolds,"California State University, Bakersfield",Baseball,Barstool Sports
11,Marcelo Saldana,"California State University, Bakersfield",Baseball,Barstool Sports
12,Cade Lucio,"California State University, Bakersfield",Wrestling,Barstool Sports
13,Vanessa Austin,"California State University, Bakersfield",Basketball,Barstool Sports
14,Jessi Solis,"California State University, Bakersfield",Track and Field,Barstool Sports
15,Denver Pugh,"California State University, Bakersfield",Volleyball,Barstool Sports
16,Isaac Ayon,University of Oregon,Baseball,
17,Anthony Brown,University of Oregon,Football,
18,Tevin Jeannis,University of Oregon,Football,Barstool Sports
19,De'Vion Harmon,University of Oregon,Basketball,
0,Yuki Moriyama,University of Oregon,Golf,Barstool Sports
1,Makena Carrion,University of Oregon,Acrobatics and Tumbling,Barstool Sports
