,Name,University,Sport,Sponsors
4,Cade Haberman,Northern Illinois University,Football,Barstool Sports
5,Jess Preusser,Saint Louis University,Soccer,Barstool Sports
6,Everett Olson,University of New Hampshire,Skiing,Barstool Sports
7,Devyn King,Sacred Heart University,Track and Field,Barstool Sports
8,Henry Beckett,Miami University,Football,Barstool Sports
9,Jacob Siler,The Ohio State University,Swimming and Diving,Barstool Sports
10,Thomas Howell,University of Louisiana at Monroe,Basketball,Barstool Sports
11,Megan Guglielmo,Wagner College,Track and Field,Barstool Sports
12,Cody Roder,North Dakota State University,Track and Field,Barstool Sports
13,Allison Lowrey,Rutgers University,Soccer,Barstool Sports
14,Nicholas Marino,Florida Atlantic University,Football,Barstool Sports
15,Jay Johnson,The Ohio State University,Swimming and Diving,Barstool Sports
16,Jeremy Cody,Arizona State University,Track and Field,Barstool Sports
17,Michael O'Shaughnessy,The Ohio State University,Football,Barstool Sports
18,Savannah Marshall,James Madison University,Volleyball,Barstool Sports
19,Mallory Pitstick,Youngstown State University,Swimming and Diving,Barstool Sports
0,Jack Coldiron,Miami University,Football,Barstool Sports
1,Hunter Bruce,Pennsylvania State University,Golf,Barstool Sports
2,Andrew Sowinski,Purdue University,Football,Barstool Sports
3,Tyler Hanley,Florida State University,Swimming and Diving,Barstool Sports
4,Hatti Moore,University of Missouri,Softball,Barstool Sports
5,Douglas Hodo III,University of Texas at Austin,Baseball,Barstool Sports
6,Colin Munro,Georgetown University,Lacrosse,Barstool Sports
7,Teagan Miller,Austin Peay State University,Golf,Barstool Sports
8,John Stillman,Bradley University,Golf,Barstool Sports
9,Sam DePrez,Binghamton University,Wrestling,Barstool Sports
10,Joey Marcuccilli,Iowa State University,Ice Hockey,Barstool Sports
11,Le Bassett,Mercer University,Baseball,Barstool Sports
12,Matt Garber,Boston University,Lacrosse,Barstool Sports
13,Jeremy Drudge,Valparaiso University,Baseball,Barstool Sports
14,Katelyn Howard,University of Oregon,Softball,Barstool Sports
15,Jonny Sorenson,University of Minnesota,Ice Hockey,Barstool Sports
