Name,Sponsors,University,Sport,PageNumber
Kyley Bolster,Liquid I.V.,Winona State University,Tennis,11
Aaron Robinson,Barstool Sports,University of Central Florida,Baseball,11
Aaron Robinson,Celsius,University of Central Florida,Baseball,11
Dylan Decker,Barstool Sports,High Point University,Baseball,11
Ashlyn McGovern,Barstool Sports,University of Virginia,Lacrosse,11
Olivia Tuma,Barstool Sports,Cornell University,Lacrosse,11
Brett Seither,Barstool Sports,University of Georgia,Football,12
Sal Goaley,Barstool Sports,Saint Louis University,Swimming and Diving,12
Danny Dzhaniyev,Barstool Sports,Pennsylvania State University,Ice Hockey,12
Jack Hillman,Barstool Sports,College of the Holy Cross,Ice Hockey,12
Grace Boghosian,Barstool Sports,Lafayette College,Swimming and Diving,12
Emily Heller,Barstool Sports,University of Florida,Lacrosse,12
Vannessa Garrelts,Barstool Sports,Miami University,Basketball,12
Colby Grames,Barstool Sports,Bucknell University,Football,12
Kamryn Tuimalu,Barstool Sports,St. John's University,Softball,12
Sarah Boyle,Barstool Sports,University of Notre Dame,Swimming and Diving,12
Aidan Hawley,Barstool Sports,Merrimack College,Baseball,12
Aiden Waszak,Barstool Sports,Ohio University,Wrestling,12
Lucas Meek,Barstool Sports,University of Washington,Soccer,12
Dominique Marcelli,Barstool Sports,Florida International University,Soccer,12
Jordan Beatson,Barstool Sports,The Citadel,Baseball,12
Dan Mangun,Barstool Sports,Loyola University Chicago,Volleyball,12
Chris Crabtree,Barstool Sports,Duke University,Baseball,12
Karson Bacon,Barstool Sports,University of Oregon,Volleyball,12
Casey Rogers,Barstool Sports,University of Nebraska-Lincoln,Football,12
Brandon Hsu,Barstool Sports,University of Rhode Island,Baseball,12
Collin Hawes,Barstool Sports,Radford University,Soccer,13
Daryl Watts,Barstool Sports,University of Wisconsin-Madison,Ice Hockey,13
Nick Brown,Barstool Sports,Liberty University,Football,13
Andrew Barrett,Barstool Sports,Drake University,Basketball,13
Beau Healy,Barstool Sports,Mercer University,Baseball,13
Jack Cebert,Barstool Sports,University of South Florida,Baseball,13
Nick Loffredo,Barstool Sports,University of Richmond,Baseball,13
Matteo Mele,Barstool Sports,University of Washington,Football,13
Kris Carlson,Barstool Sports,Long Island University,Ice Hockey,13
Courtney Mahoney,Barstool Sports,Fairleigh Dickinson University,Softball,13
Savannah Braun,Barstool Sports,University of New Mexico,Softball,13
Jillian Shive,Barstool Sports,Ohio University,Field Hockey,13
Sarah Rech,Barstool Sports,University of Akron,Lacrosse,13
Sarah Bacon,Barstool Sports,University of Minnesota,Swimming and Diving,13
Luke Bolden,Barstool Sports,Miami University,Football,13
Peyton Fifield,Barstool Sports,Sam Houston State University,Football,13
Kris Jenkins,Barstool Sports,University of Michigan,Football,13
Nina Kucheran,Barstool Sports,Florida State University,Swimming and Diving,13
Jack Martin,Barstool Sports,University of South Alabama,Football,13
Oleh Manzyk,Barstool Sports,University of New Hampshire,Football,13
